,beta0,beta1,beta2,beta3,tau1,tau2
2022-10-24,1.082117047616366,62.89986005809388,117.92868114547085,69.1077196561325,0.016166793271819736,0.015589051538019852
2022-10-25,1.0709797964279684,62.691170823058364,116.78662683061108,68.32226872997386,0.016314926437388674,0.015869369598576665
2022-10-26,1.0705302896726445,63.83382187941396,119.93014632799202,70.45338900668528,0.015885569269124124,0.015596667104136555
2022-10-27,1.0606782719355787,63.78684215923617,118.96553519956151,70.29834322977109,0.016039686935788475,0.01560965663441506
2022-10-28,1.0497490895163748,66.17025745963134,124.73917418430533,73.24172452496572,0.015451086654736408,0.014884924530342895
2022-10-31,1.0565072743388826,65.08000852368667,120.99415431806169,72.23818669108964,0.015807708071800847,0.015388453727393345
2022-11-01,1.0471990356940812,66.90942860704885,124.35805484174071,72.8776733990983,0.015493697900768143,0.015087220477549271
2022-11-02,1.0481395625669812,69.99898379140771,132.79690218665974,78.1336076744899,0.014627776200919563,0.014090944398742051
2022-11-03,1.0550008354049356,70.3873765806844,132.69904782353032,78.32363365425607,0.014572656700143571,0.01417086536977975
2022-11-04,1.0631335398706634,70.33191725729972,132.99887108991928,79.05201144441742,0.014531080656284789,0.014122550895510412
2022-11-07,1.6263809893758572,108.32323886402989,199.1818256883652,-4.841939747774279,0.013839346974823427,1.1662196458400123
2022-11-08,1.1048348514259514,72.42969168357163,136.46209779627463,79.87708838299616,0.014220303059294467,0.013850393088263049
2022-11-09,1.0826123486392112,74.80507052496253,140.81246439845887,81.82118615322977,0.013838241930068641,0.013563985920573635
2022-11-10,1.0604560092563768,76.93677227333501,144.41118221551756,84.40884121490507,0.013509155305108727,0.013262562709818047
2022-11-11,1.0693848882410044,77.95271525076673,146.39874266349727,85.09161454156391,0.01339017480366582,0.013013194422437898
2022-11-14,1.0650874529493692,80.43649540521966,150.46014546581924,87.82866975000609,0.013060865405158122,0.012699329981669664
2022-11-15,1.0610781646706944,81.81917220173821,151.98384973783902,90.7851650359776,0.012853921470590633,0.012485039026038664
2022-11-16,1.0396268048213215,81.38404182935517,149.92702376665974,90.49668057794969,0.013005157649888924,0.012657034148604907
2022-11-17,1.0432437258417875,85.1215659151968,159.0688798466899,93.63969769466728,0.012426195667497843,0.012000213970144905
2022-11-18,1.0456112633986934,86.7954583376077,164.02323855865947,96.82281087416153,0.01209425328190826,0.011664148374545059
2022-11-21,1.034391752948386,87.8838452157632,161.0090823467072,97.3311037685404,0.01218011649650479,0.011851832059445778
2022-11-22,1.0341505368575086,89.72074792512919,166.26859625295052,101.21941420797602,0.011819808069145133,0.011510786357439731
2022-11-23,1.0174668641726858,91.29893352372727,167.40619956933656,102.62662937475106,0.01171970778828246,0.011410403811003096
2022-11-24,1.0229858143168677,95.25261100534888,176.01853490996547,106.70471663354725,0.011189990806259782,0.010974953750239515
2022-11-25,1.032035131680198,96.18017047317723,178.51859715311775,109.04629355787164,0.011031342668792946,0.01081161325690105
2022-11-28,1.0313768915788333,100.85108659235726,190.46110519379195,114.86856356284167,0.010463247956266776,0.010265667664669438
2022-11-29,1.0307635023997073,150.23376599789313,313.73175811078454,0.0328528438722444,0.009123835069464495,-0.0002082307854952281
2022-11-30,1.0400505482621198,102.26114670466055,184.88254426745382,116.40876033973903,0.010579103547783105,0.010294811473739042
2022-12-01,1.0358102413106594,107.27268317003639,195.93173376618748,122.53381034296869,0.010066795330339487,0.009721826167152099
2022-12-02,1.0450060976656972,105.86213582873145,191.90920868015633,118.41116493082205,0.010282105863133046,0.01000601275836037
2022-12-05,1.0366653735039557,116.57632462439584,214.2266338194232,133.5397015573294,0.009287063639647618,0.008949286910148317
2022-12-06,1.035475107104125,118.13890445770653,214.9857108345687,133.05782871418063,0.009257905710794866,0.008939977938450656
2022-12-07,1.0369588682836925,121.04438717463161,218.45114904204874,136.83987444980804,0.009034305253569887,0.00885611851168108
2022-12-08,1.0406600679607825,118.32451828843183,212.0366973771089,132.6235975529494,0.009325566334464453,0.009070691492921942
2022-12-09,1.044684037270119,125.32686694762157,229.21349527152364,145.0869040981004,0.00867096617605095,0.008369566766268354
2022-12-12,1.0446574253247933,135.85006064821272,243.28337740462115,155.90753620110564,0.008093974151950784,0.007937727652100324
2022-12-13,1.0483845562113878,136.3558748976874,242.08548320000284,157.45918590773516,0.008113573527745976,0.007878940843361985
2022-12-14,1.049384207207628,137.0078494148043,238.59893207749678,155.08361825735534,0.008201610121613896,0.007971677947209389
2022-12-15,1.038950805332789,142.27974268115014,253.4663651561768,161.72170087458107,0.007824225414700398,0.00759743256839566
2022-12-16,1.0442564105131351,149.47079030077978,262.3797463580757,174.12964546126412,0.0074501534268846675,0.007243663950290995
